d_s,h_s,t,d_d,P_e,Reference,Group
0.7480319,3.75197053,0.04724412,2.362206,0.999527727,Mottram and Johnson (1990),Stud diameter = 3/4 inch
0.7480319,3.79921465,0.04724412,2.362206,0.991718916,Mottram and Johnson (1990),Stud diameter = 3/4 inch
0.7480319,4.77559313,0.04724412,2.362206,1.007228081,Mottram and Johnson (1990),Stud diameter = 3/4 inch
0.7480319,4.79527818,0.04724412,2.362206,0.987922967,Mottram and Johnson (1990),Stud diameter = 3/4 inch
0.7480319,4.79527818,0.04724412,2.362206,0.968509397,Mottram and Johnson (1990),Stud diameter = 3/4 inch
0.7480319,3.83071073,0.04724412,2.0078751,1.322733889,Mottram and Johnson (1990),Stud diameter = 3/4 inch
0.7480319,3.79527764,0.04724412,2.0078751,1.249838317,Mottram and Johnson (1990),Stud diameter = 3/4 inch
0.7480319,4.8031522,0.0393701,2.9921276,0.531121596,Jayas and Hosain (1987),Stud diameter = 3/4 inch
0.7480319,4.8031522,0.0393701,2.9921276,0.729888782,Jayas and Hosain (1987),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.034251987,2.362206,0.680837643,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.034251987,2.362206,0.900294136,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.034251987,2.362206,0.811362005,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.034251987,2.362206,1.002602663,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.034251987,2.362206,1.007409805,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.034251987,2.362206,0.701707525,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,4.724412,0.046850419,3.16929305,0.696095094,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,4.724412,0.046850419,3.16929305,1.155386183,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,4.724412,0.046850419,3.16929305,1.000486475,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,4.724412,0.046850419,3.16929305,0.762104165,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.036220492,2.1653555,0.712020786,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.036220492,2.1653555,0.716542555,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.036220492,2.1653555,0.799406589,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.036220492,2.1653555,0.553944464,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.036220492,2.1653555,0.600758066,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.036220492,2.1653555,0.484268405,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.036220492,2.1653555,0.598531204,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.036220492,2.1653555,0.698863739,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.036220492,2.1653555,0.591850616,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.03543309,2.362206,0.918582177,Hicks (2007),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,0.934965565,Hicks (1997),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.168985069,Hicks (1997),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,1.023191405,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,0.996249201,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,0.976654872,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,0.766484074,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,0.774840479,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,1.042418341,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,1.027232735,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,1.030171885,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,3.3858286,0.0393701,2.0078751,1.004209398,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,3.3858286,0.0393701,2.0078751,0.993187587,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,3.3858286,0.0393701,2.0078751,1.053195222,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,3.3858286,0.0393701,2.0078751,1.102901426,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,3.3858286,0.0393701,2.0078751,1.084171552,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,3.3858286,0.0393701,2.0078751,1.038499475,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,1.163413327,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,1.168924232,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,1.238116709,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,0.741126706,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,0.740319881,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,0.751845957,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,0.651943691,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,0.703522882,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.3700811,0.0393701,2.9921276,0.707412933,Robinson (1988),Stud diameter = 3/4 inch
0.7480319,4.724412,0.0393701,3.16929305,0.572154428,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,4.724412,0.0393701,3.16929305,0.449363295,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,4.724412,0.0393701,3.16929305,0.4833268,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.03543309,2.362206,1.180884937,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.03543309,2.362206,0.998004527,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.03543309,2.362206,1.152146587,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.03543309,2.362206,0.556947253,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.03543309,2.362206,0.558577661,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.03543309,2.362206,0.611946338,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.03543309,2.362206,0.608605601,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.03543309,2.362206,0.566486736,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.03543309,2.362206,0.599734265,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.03543309,2.362206,0.783139141,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.03543309,2.362206,0.819619512,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.03543309,2.362206,0.825325939,Hicks (2020),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.132160371,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.130984711,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.096890577,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,0.979324599,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,0.985202898,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,0.92054161,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,0.931122548,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.175659783,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.063972103,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.126282072,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.078080021,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.175659783,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.178011102,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.275590864,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.175659783,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.143916969,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.187416381,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.152146587,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.181538082,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.116876794,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.048688526,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,0.899379734,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.105120196,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.073377382,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.007540434,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.066323423,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.042810227,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.13686301,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.146268288,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.146268288,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.332022534,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.257955968,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.04724412,1.968505,1.337900833,Lloyd and Wright (1990),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.0393701,1.968505,0.697097095,Shen and Chung (2017),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.0393701,1.968505,0.755741771,Shen and Chung (2017),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.0393701,1.968505,0.693777585,Shen and Chung (2017),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.0393701,1.968505,0.730292194,Shen and Chung (2017),Stud diameter = 3/4 inch
0.7480319,3.7401595,0.0393701,1.968505,0.796682394,Shen and Chung (2017),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,1.053846363,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,1.045832322,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,1.033811261,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,0.770762158,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,0.766048016,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,0.768405087,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,1.057853383,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,1.12997975,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,1.085902526,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,0.855616707,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,0.782547512,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,0.843831353,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,0.965691914,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,1.063863914,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,0.829453221,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,0.53151947,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,0.658801294,Russell et al. (2021),Stud diameter = 3/4 inch
0.7480319,4.724412,0.029527575,3.149608,0.622266696,Russell et al. (2021),Stud diameter = 3/4 inch
0.8661422,4.724412,0.029527575,3.149608,0.941950228,Russell et al. (2021),Stud diameter = 7/8 inch
0.8661422,4.724412,0.029527575,3.149608,0.882216799,Russell et al. (2021),Stud diameter = 7/8 inch
0.8661422,4.724412,0.029527575,3.149608,0.900596315,Russell et al. (2021),Stud diameter = 7/8 inch
0.8661422,4.724412,0.029527575,3.149608,0.533366365,Russell et al. (2021),Stud diameter = 7/8 inch
0.8661422,4.724412,0.029527575,3.149608,0.573909417,Russell et al. (2021),Stud diameter = 7/8 inch
0.8661422,4.724412,0.029527575,3.149608,0.66310413,Russell et al. (2021),Stud diameter = 7/8 inch
